ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
2592,itu-297382 (update),National Restaurant Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297382 (update).pdf,4/30/2018,106,"name, ssn, dln, financial account info, username/password",unauthorized access to email
2593,itu-297403,YMCA of the East Bay,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297403.pdf,4/27/2018,1,worker compensation and legal claims,stolen laptop
2594,itu-297372 (2),Rail Europe North America Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297372 (2).pdf,4/27/2018,361,"name, address, payment card info, username and password",malware
2595,itu-297372,Rail Europe North America Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297372.pdf,4/27/2018,361,"name, address, payment card info, username and password",malware
2596,itu-297379 (1),CPT Group Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297379 (1).pdf,4/27/2018,67,"name, address, ssn",phishing
2597,itu-297379 (2),CPT Group Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297379 (2).pdf,4/27/2018,67,"name, address, ssn",phishing
2598,itu-297340,Family Investment Administration at the Department of Human Services,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297340.pdf,4/26/2018,2,"name, address, account number",info inadvertently sent to wrong recipient
2599,itu-297341,intuit Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297341.pdf,4/26/2018,9,"name, Social Security number, address, date of birth, driver's license number and financial information (e.g., salary and deductions), and information of other individuals contained in the tax return",unauthorized access
2600,itu-297342 (2),Carolina Digestive Health Associates,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297342 (2).pdf,4/26/2018,7,"name, ssn, dob",info stolen by employee
2601,itu-297342,Carolina Digestive Health Associates,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297342.pdf,4/26/2018,7,"name, ssn, dob",info stolen by employee
2602,itu-297343 (1),"Lone Star Ag Credit, ACA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297343 (1).pdf,4/26/2018,1,"name, address, bank info, loan number",unauthorized access
2603,itu-297343 (2),"Lone Star Ag Credit, ACA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297343 (2).pdf,4/26/2018,1,"name, address, bank info, loan number",unauthorized access
2604,itu-297364,"Julian Sur, CPA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297364.pdf,4/26/2018,4,"name, dob, phone number, ssn, w-2 tax info, dln, bank info",unauthorized access to email
2605,itu-297368 (1),"Lone Star Ag Credit, ACA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297368 (1).pdf,4/26/2018,1,"name, address, bank account info, loan numbers",unauthorized access
2606,itu-297368 (2),"Lone Star Ag Credit, ACA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297368 (2).pdf,4/26/2018,1,"name, address, bank account info, loan numbers",unauthorized access
2607,itu-297370,Cetera Advisors LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297370.pdf,4/26/2018,60,"name, address, dob, ssn, dln, account numbers",unauthorized access to email
2608,itu-297371,Hudsons Bay Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297371.pdf,4/26/2018,,"name, payment card info",malware
2609,itu-297332 (1),Lincoln Financial Advisors Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297332 (1).pdf,4/25/2018,1,"name, ssn, dob",info inadvertently emailed to wrong recipient
2610,itu-297332 (2),Lincoln Financial Advisors Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297332 (2).pdf,4/25/2018,1,"name, ssn, dob",info inadvertently emailed to wrong recipient
2611,itu-297336,"WithumSmith+Brown, PC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297336.pdf,4/25/2018,2,"name, address, ssn",phishing
2612,itu-297337,Capital Farm Credit,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297337.pdf,4/25/2018,,"name, address, bank account info, loan number, dln",unauthorized access
2613,itu-297338,"Alabama Ag Credit, ACA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297338.pdf,4/25/2018,,"name, bank info, address, loan number",unauthorized access
2614,itu-297339 (2),"Mitchell International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297339 (2).pdf,4/25/2018,16,"name, workers compensation claim number, and workers compensation medical records, and a smaller subset included social security numbers",inadvertently available via the internet
2615,itu-297339 (3),"Mitchell International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297339 (3).pdf,4/25/2018,16,"name, workers compensation claim number, and workers compensation medical records, and a smaller subset included social security numbers",inadvertently available via the internet
2616,itu-297339,"Mitchell International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297339.pdf,4/25/2018,16,"name, workers compensation claim number, and workers compensation medical records, and a smaller subset included social security numbers",inadvertently available via the internet
2617,itu-297401,"Telestream, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297401.pdf,4/25/2018,4,"name, w2 tax info",phishing
2618,itu-297328,Ramy Brook,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297328.pdf,4/24/2018,13,"name, payment card info, address",malware
2619,itu-297329,Atrium Hospitality,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297329.pdf,4/24/2018,1,"name, payment card info",malware
2620,itu-297330,Sears Holdings Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297330.pdf,4/24/2018,"2,588","name, payment card info",malware
2621,itu-297331,"Signature Systems Group, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297331.pdf,4/24/2018,5,phishing,"name, ssn, bank account info, health insurance info, credit card number"
2622,itu-297399,Atlas Medstaff,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297399.pdf,4/24/2018,1,"name, dob, ssn, address",stolen laptop
2623,itu-297325,Capital Digestive Care,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297325.pdf,4/23/2018,"8,713","name, address, dob, possible health info",info accessible via public portals
2624,itu-297327,MCR Inestors LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297327.pdf,4/23/2018,667,"name, address, ssn, w2 tax info",stolen laptop
2625,itu-297397,CareFirst,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297397.pdf,4/23/2018,5,"name, ssn",phishing
2626,itu-297398,UniCarriers Americas Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297398.pdf,4/23/2018,1,"name, address, ssn",ransomware
2627,itu-296819 (1),Friends of Falls Church Homeless Shelter,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296819 (1).pdf,4/20/2018,,"name, address, bank account number, signature",unauthorized access
2628,itu-297322 (1),American Society of Anesthesiologists,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297322 (1).pdf,4/20/2018,,"name, email address, ssn",phishing
2629,itu-297322 (2),American Society of Anesthesiologists,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297322 (2).pdf,4/20/2018,,"name, email address, ssn",phishing
2630,itu-297323,"Michael Gruber, DMD, PA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297323.pdf,4/20/2018,14,"name, address, ssn, dln,  health insurance info, medical info",ransomware
2631,itu-297324 (update),Southwest Airlines Co.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297324 (update).pdf,4/20/2018,"1,427","name, payment card info, email address, address",unauthorized access
2632,itu-297324,Southwest Airlines Co.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297324.pdf,4/20/2018,"1,427","name, payment card info, email address, address",unauthorized access
2633,itu-296813 (1),Northwestern Mutual Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296813 (1).pdf,4/19/2018,2,"name, address, dob, ssndln",inadvertently emailed info to wrong recipient
2634,itu-296813 (2),Northwestern Mutual Life Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296813 (2).pdf,4/19/2018,2,"name, address, dob, ssndln",inadvertently emailed info to wrong recipient
2635,itu-296814,"Premier Fixtures, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296814.pdf,4/19/2018,1,"name, ssn",phishing
2636,itu-296815,"Pershing, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296815.pdf,4/19/2018,10,"name, account number, ssn",coding error
2637,itu-296816,"Strategic Analysis, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296816.pdf,4/19/2018,356,"name, bank account and routing number",unauthorized access
2638,itu-297396,Hepburn and Sons LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297396.pdf,4/19/2018,5,"name, address, ssn, w2 tax info",spearphishing
2639,itu-296785,The Juilliard School,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296785.pdf,4/18/2018,1,"name, address, ssn",IRS form inadvertently mailed to wrong recipient
2640,itu-296786,M&T Bank (Identity Theft),http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296786.pdf,4/18/2018,1,"name, address, ssn, dob, dln",email attachment inadvertently sent to wrong recipient
2641,itu-296789,Eastern Bank,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-296789.pdf,4/18/2018,2,"name, payment card info",skimming device
2642,itu-295823,Ithaca College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295823.pdf,4/17/2018,1,"name, dln",phishing
2643,itu-295831 (1),"W.W. Grainger, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295831 (1).pdf,4/17/2018,343,"name, payment card info",unauthorized access
2644,itu-295831 (2),"W.W. Grainger, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295831 (2).pdf,4/17/2018,343,"name, payment card info",unauthorized access
2645,itu-295848,SunTrust Bank,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295848.pdf,4/17/2018,2,"name, dob, ssn",inadvertently faxed to wrong recipients
2646,itu-295814,"World Travel Holdings, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295814.pdf,4/16/2018,94,"name, dob, payment card info, address",unauthorized access
2647,itu-295816 (1),"Arcadis U.S., Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295816 (1).pdf,4/16/2018,1,"name, dob, address, financial account info, w2 tax info",phishing
2648,itu-295816 (2),"Arcadis U.S., Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295816 (2).pdf,4/16/2018,1,"name, dob, address, financial account info, w2 tax info",phishing
2649,itu-295824,"Temp-Tations Home LLC d/b/a ""Tara at Home""",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295824.pdf,4/16/2018,114,"name, payment card number",malware
2650,itu-295694,Search Optics Management Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295694.pdf,4/13/2018,1,"name, address, ssn, w2 tax info",phishing
2651,itu-295777,"Best Buy Co., Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295777.pdf,4/13/2018,,"name, address, payment card info",malware
2652,itu-295778 (1),"Inogen, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295778 (1).pdf,4/13/2018,564,"name, address, dob, medicare info, insurance info",unauthorized access to employee email
2653,itu-295778 (2),"Inogen, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295778 (2).pdf,4/13/2018,564,"name, address, dob, medicare info, insurance info",unauthorized access to employee email
2654,itu-295811 (2),"ABC Phones of North Carolina, Inc. dba Victra",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295811 (2).pdf,4/13/2018,11,"name, ssn, address, dob",phishing
2655,itu-295811,"ABC Phones of North Carolina, Inc. dba Victra",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295811.pdf,4/13/2018,11,"name, ssn, address, dob",phishing
2656,itu-295677,"Delta Air Lines, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295677.pdf,4/12/2018,"8,246","name, address, payment card info",malware
2657,itu-295678,Fox News LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295678.pdf,4/12/2018,5,usernames and passwords used to log in to the expense reimbursement system,unauthorized access to server
2658,itu-295807,"HSBC Global Asset management, USA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295807.pdf,4/12/2018,1,"name, account info",info emailed to incorrect recipient
2659,itu-295808,Institute for Supply Management,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295808.pdf,4/12/2018,3,"name, payment card info",phishing
2660,itu-295781,"B.T.C.E., Inc. d/b/a HomeBrewIt.com",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295781.pdf,4/11/2018,11,"name, payment card info",malware
2661,itu-295804 (1),"Mise En Place Restaurant Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295804 (1).pdf,4/11/2018,102,"name, address, ssn, bank info",ransomware
2662,itu-295804 (2),"Mise En Place Restaurant Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295804 (2).pdf,4/11/2018,102,"name, address, ssn, bank info",ransomware
2663,itu-295804 (3),"Mise En Place Restaurant Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295804 (3).pdf,4/11/2018,102,"name, address, ssn, bank info",ransomware
2664,itu-295806,"Iditarod Trail Committee, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295806.pdf,4/11/2018,3,"name, ssn",stolen laptop/ thumb drive
2665,itu-295519 (1),"Austin, Nichols & Co., Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295519 (1).pdf,4/10/2018,1,"name, payment card info",unauthorized access
2666,itu-295519 (2),"Austin, Nichols & Co., Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295519 (2).pdf,4/10/2018,1,"name, payment card info",unauthorized access
2667,itu-295520,"Betterton, Tyler & Summonte, PL",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295520.pdf,4/10/2018,1,"name, ssn",phishing
2668,itu-295695 (1),Victoria Independent School District,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295695 (1).pdf,4/10/2018,1,"name, address, ssn, id numbers, medical info",unauthorized access to email accounts
2669,itu-295695 (2),Victoria Independent School District,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-295695 (2).pdf,4/10/2018,1,"name, address, ssn, id numbers, medical info",unauthorized access to email accounts
