Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
"First Command Financial Services, Inc.",FINANCIAL SERVICES/INSURANCE,5/5/2015,2/24/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",5112,355
Fort Campbell Federal Credit Union,FINANCIAL SERVICES/INSURANCE,5/5/2015,4/7/2015,RELEASE/ DISPLAY OF INFO,1303,23
Walgreens Company,GENERAL BUSINESS,5/5/2015,3/4/2015,RELEASE/ DISPLAY OF INFO,1138,1
Align Services,HEALTHCARE,5/5/2015,4/10/2015,HACKERS/ UNAUTHORIZED,187,1
LCRX,HEALTHCARE,5/5/2015,4/10/2015,HACKERS/ UNAUTHORIZED,187,12
Hard Rock Hotel & Casino,GENERAL BUSINESS,4/30/2015,4/3/2015,HACKERS/ UNAUTHORIZED,173000,
US Cabinet Depot,GENERAL BUSINESS,5/4/2015,3/13/2015,HACKERS/ UNAUTHORIZED,106,4
Access Family Services,HEALTHCARE,4/30/2015,4/10/2015,RELEASE/ DISPLAY OF INFO,1,1
"Roadmaster Drivers School of North Carolina, Inc.",EDUCATIONAL,4/29/2015,4/23/2015,LOST IN TRANSIT,6,6
Greater Orlando Aviation Authority,GOVERNMENT,4/29/2015,4/10/2015,RELEASE/ DISPLAY OF INFO,509,1
"Signator Investors, Inc.",FINANCIAL SERVICES/INSURANCE,4/28/2015,3/13/2015,PHISHING,6,6
"Ameriprise Financial, Inc.",FINANCIAL SERVICES/INSURANCE,4/29/2015,3/18/2015,"HACKERS/ UNAUTHORIZED, ACCESS",1205,5
Central States Southeast and Southwest Areas Health & Welfare and Pension Funds,INFORMATION ONLY,4/28/2015,1/29/2015,INFORMATION ONLY,,
"Compass Group USA, Inc.",GENERAL BUSINESS,4/24/2015,3/16/2015,HACKERS/ UNAUTHORIZED,70000,516
Johnston Health Services Corporation DBA Johnston Health,HEALTHCARE,4/23/2015,1/27/2015,RELEASE/ DISPLAY OF INFO,1,1
Cooper University Hospital,HEALTHCARE,4/24/2015,4/18/2015,RELEASE/ DISPLAY OF INFO,450,1
"Gallagher Pool Wealth Management LLC, a Member Office of Valmark Securities (""Gallagher"")",FINANCIAL SERVICES/ INSURANCE,4/24/2015,4/2/2015,RELEASE/ DISPLAY OF INFO,545,6
AT&T,GENERAL BUSINESS,4/23/2015,7/4/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",200000,2741
Concordia Plan Services,INFORMATION ONLY,4/21/2015,1/29/2015,INFORMATION ONLY,12600,30
Abercrombie & Fitch Management Co.,GENERAL BUSINESS,4/20/2015,4/10/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",139,2
The Goodyear Tire & Rubber,GENERAL BUSINESS,4/20/2015,3/12/2015,LOST IN TRANSIT,577,571
"Freedom Smokes, Inc.",GENERAL BUSINESS,4/22/2015,3/16/2015,HACKERS/ UNAUTHORIZED,15057,835
Oklahoma Student Loan Authority,EDUCATIONAL,4/21/2015,4/7/2015,RELEASE/ DISPLAY OF INFO,60,1
State of Franklin Healthcare Associates,HEALTHCARE,4/17/2015,2/3/2015,"HACKERS/ UNAUTHORIZED, ACCESS",50,2
"Cvs, allgenheny, Johnson and Johnson, Microsoft, Pizza Hut",INFORMATION ONLY,4/19/2015,8/1/2012,INFORMATION ONLY,648000000,240000000
"OppenheimerFunds, Inc.",FINANCIAL SERVICES/INSURANCE,4/9/2015,3/18/2015,RELEASE/ DISPLAY OF INFO,5585,979
"Sweaty Bands, LLC",GENERAL BUSINESS,4/16/2015,3/18/2015,HACKERS/ UNAUTHORIZED,312,10
"Marquis Diagnostic Imaging of North Carolina, LLC",HEALTHCARE,4/10/2015,2/6/2015,RELEASE/ DISPLAY OF INFO,500,138
OMNI Behavioral Health,HEALTHCARE,4/15/2015,2/13/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",356,2
"Buchanan & Edwards, Inc.",GENERAL BUSINESS,4/10/2015,3/31/2015,HACKERS/ UNAUTHORIZED,570,4
Suburban Lung Associates,HEALTHCARE,4/14/2015,2/13/2015,RELEASE/ DISPLAY OF INFO,2984,8
First Technology Federal Credit Union,FINANCIAL SERVICES/INSURANCE,4/14/2015,3/9/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",10,2
Law Enforcement Targets Inc.,GENERAL BUSINESS,4/13/2015,3/10/2015,HACKERS/ UNAUTHORIZED,322,18
"Hough, Gelfand & Associates, P.A. Certified Public",GENERAL BUSINESS,4/13/2015,3/13/2015,"HACKERS/ UNAUTHORIZED, ACCESS",745,2
HSBC Finance Corporation on behalf of its subsidiaries,FINANCIAL SERVICES/INSURANCE,4/10/2015,3/27/2015,RELEASE/ DISPLAY OF INFO,85923,2504
Kellogg & Andelson Global Management,FINANCIAL SERVICES/INSURANCE,4/10/2015,3/4/2015,"HACKERS/ UNAUTHORIZED, ACCESS",5000,7
TD Banknorth and TD Auto Finance,INFORMATION ONLY,3/18/2015,1/29/2015,INFORMATION ONLY,,12
"SRI, Inc.",GENERAL BUSINESS,4/6/2015,3/13/2015,HACKERS/ UNAUTHORIZED,9386,144
"OppenheimerFunds, Inc.",FINANCIAL SERVICES/INSURANCE,4/7/2015,3/24/2015,RELEASE/ DISPLAY OF INFO,3824,63
"Twin Cities Fan Companies, LTD",GENERAL BUSINESS,4/6/2015,3/13/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1336,1
Wake Forest University Baptist Medical Center (WFUBMC),HEALTHCARE,4/2/2015,3/14/2015,RELEASE/ DISPLAY OF INFO,1,1
Dental Center of Zebulon,HEALTHCARE,4/6/2015,2/11/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",3,3
"Coastal International Security, Inc.",GENERAL BUSINESS,4/6/2015,3/25/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",66,4
Momentive Performance Materials,GENERAL BUSINESS,4/1/2015,2/3/2015,RELEASE/ DISPLAY OF INFO,4236,93
Children's Heart Center Nevada,HEALTHCARE,4/3/2015,2/3/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",8791,3
Equifax Information Services,GENERAL BUSINESS,4/3/2015,3/15/2015,RELEASE/ DISPLAY OF INFO,1382,48
Weyerhaeuser Company (WY) (WY enrollees in Premera Blue Cross' health plans),INFORMATION ONLY,4/2/2015,3/17/2015,INFORMATION ONLY,0,8893
Auburn University,EDUCATIONAL,4/2/2015,3/2/2015,RELEASE/ DISPLAY OF INFO,364012,6026
Law Offices of Mark A. Ward,GENERAL BUSINESS,4/2/2015,3/10/2015,LOST IN TRANSIT,1,1
Doubletree Suites by Hilton Lake Buena Vista,GENERAL BUSINESS,4/2/2015,4/2/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",20,1
Health Care Service Corporation (HCSC),INFORMATION ONLY,3/30/2015,1/29/2015,INFORMATION ONLY,,499
TCU,FINANCIAL SERVICES/INSURANCE,4/1/2015,1/29/2015,LOST IN TRANSIT,2,2
"Retail Capital, LLC",FINANCIAL SERVICES/INSURANCE,4/1/2015,3/17/2015,"HACKERS/ UNAUTHORIZED, ACCESS",741,11
"Essex Property Trust, Inc.",GENERAL BUSINESS,4/1/2015,9/1/2014,HACKERS/ UNAUTHORIZED,35,35
"Schiller & Adam, P.A.",GENERAL BUSINESS,3/31/2015,3/19/2015,HACKERS/ UNAUTHORIZED,277,6
"North Carolina Department of the Secretary of State, Securities Division",GOVERNMENT,4/2/2015,3/4/2015,RELEASE/ DISPLAY OF INFO,250,41
Adventist Florida Hospital,HEALTHCARE,3/25/2015,5/2/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",8643,20
Delaware Department of,GOVERNMENT,3/30/2015,2/2/2015,RELEASE/ DISPLAY OF INFO,,8
Easter Seals UCP North Carolina & Virginia,RELIGIOUS/NONPROFIT,3/30/2015,3/4/2015,RELEASE/ DISPLAY OF INFO,1,1
Metropolitan Life Insurance Company,FINANCIAL SERVICES/INSURANCE,3/30/2015,2/13/2015,RELEASE/ DISPLAY OF INFO,211,9
"Nite Ize, Inc.",GENERAL BUSINESS,3/27/2015,3/11/2015,HACKERS/ UNAUTHORIZED,50578,1332
UAW Retiree Medical Benefits Trust,HEALTHCARE,3/26/2015,12/18/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",214,2
Bank of the West,INFORMATION ONLY,3/24/2015,2/6/2015,INFORMATION ONLY,58677,86
The Goodyear Tire & Rubber Company (Goodyear),GENERAL BUSINESS,3/25/2015,2/4/2015,RELEASE/ DISPLAY OF INFO,365,69
Vidant Beaufort Hospital,HEALTHCARE,3/24/2015,3/11/2015,RELEASE/ DISPLAY OF INFO,1,1
Nuance Communications. Inc.,INFORMATION ONLY,3/25/2015,1/29/2015,INFORMATION ONLY,1260,7
GM Financial,FINANCIAL SERVICES/INSURANCE,3/23/2015,3/3/2015,RELEASE/ DISPLAY OF INFO,1,1
Advantage Dental,HEALTHCARE,3/20/2015,2/26/2015,HACKERS/ UNAUTHORIZED,,2
"United Rentals, Inc.",INFORMATION ONLY,3/25/2015,1/29/2015,INFORMATION ONLY,,
New Hanover Regional Medical Center,HEALTHCARE,3/13/2015,2/9/2015,RELEASE/ DISPLAY OF INFO,1,1
Premera Blue Cross,FINANCIAL SERVICES/INSURANCE,3/17/2015,1/29/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",11000000,57340
McDermott Will & Emery,INFORMATION ONLY,3/12/2015,1/29/2015,INFORMATION ONLY,,7
Laboratory Corporation of America (Lab Corp),HEALTHCARE,3/17/2015,3/15/2013,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1580,96
Maine Office of Securities,GOVERNMENT,3/22/2015,2/27/2015,RELEASE/ DISPLAY OF INFO,,
"State Board of Examiners of Plumbing, Heating & Fire Sprinkler Contractors",GENERAL BUSINESS,3/20/2015,2/23/2015,LOST IN TRANSIT,19,19
Johnston Community College,EDUCATIONAL,3/20/2015,2/19/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",347,347
Mount Sinai Medical Center,HEALTHCARE,3/20/2015,2/24/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",946,1
Adalta Corporation,GENERAL BUSINESS,3/20/2015,3/10/2015,HACKERS/ UNAUTHORIZED,346,13
Alta Ski Lifts Co.,GENERAL BUSINESS,3/19/2015,2/28/2015,HACKERS/ UNAUTHORIZED,336,4
"SVC-West, LLC",GENERAL BUSINESS,3/17/2015,1/6/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",35235,156
OneStopParking,GENERAL BUSINESS,3/17/2015,12/25/2014,HACKERS/ UNAUTHORIZED,20679,1030
Apple America Group LLC,GENERAL BUSINESS,3/17/2015,3/3/2015,LOST IN TRANSIT,49964,7
"Mark Riley, Inc., dba E. K. and Company",GENERAL BUSINESS,3/16/2015,1/19/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2111,1
The Outer Banks Hospital,HEALTHCARE,3/12/2015,1/20/2015,RELEASE/ DISPLAY OF INFO,2,2
Betterbee,GENERAL BUSINESS,3/16/2015,3/10/2015,HACKERS/ UNAUTHORIZED,322,2
CaroMont Regional Medical Center-Case Management,HEALTHCARE,3/12/2015,2/10/2015,RELEASE/ DISPLAY OF INFO,1,1
"Dr. Anthony T. R. Green, DDS",HEALTHCARE,3/6/2015,2/2/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",8636,9
New Hanover Regional Medical Center Physician Group,HEALTHCARE,3/6/2015,1/7/2015,RELEASE/ DISPLAY OF INFO,1,1
Indiana State Medical Association (ISMA),GENERAL BUSINESS,3/9/2015,2/13/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",39090,44
"Aurora Health Care, Inc.",HEALTHCARE,3/10/2015,1/27/2015,HACKERS/ UNAUTHORIZED,37908,6
"G&J Pepsi Bottling, Inc.",GENERAL BUSINESS,3/10/2015,2/16/2015,RELEASE/ DISPLAY OF INFO,3161,1
"AKSM, Ltd.",HEALTHCARE,3/10/2015,1/13/2015,LOST IN TRANSIT,37,1
Johnston Health Services Corporation DBA Johnston Health,HEALTHCARE,3/9/2015,10/7/2014,RELEASE/ DISPLAY OF INFO,1,1
"Wendy's International, LLC",INFORMATION ONLY,3/9/2015,1/29/2015,INFORMATION ONLY,,
"Duke Energy Carolinas, LLC",GENERAL BUSINESS,3/6/2015,2/20/2015,RELEASE/ DISPLAY OF INFO,25,25
"Cequel Communications, LLC d/b/a Suddenlink Communications",GENERAL BUSINESS,3/6/2015,2/17/2015,RELEASE/ DISPLAY OF INFO,114,110
Health Care Service Corporation (HCSC),INFORMATION ONLY,3/4/2015,1/29/2015,INFORMATION ONLY,,6689
The Prudential Insurance Company of America,FINANCIAL SERVICES/INSURANCE,3/2/2015,1/12/2015,RELEASE/ DISPLAY OF INFO,76,2
"American Apparel, Inc.",INFORMATION ONLY,3/2/2015,1/27/2015,INFORMATION ONLY,,12
"Pearl Meyer & Partners, LLC",GENERAL BUSINESS,3/5/2015,2/16/2015,HACKERS/ UNAUTHORIZED,268,8
"Bed Bath & Beyond, Inc.",GENERAL BUSINESS,2/26/2015,2/10/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",33,1
"Kraft Music, LTD",GENERAL BUSINESS,3/3/2015,2/3/2015,HACKERS/ UNAUTHORIZED,1679,50
"Duke Private Diagnostic Clinic, PLLC",HEALTHCARE,3/4/2015,2/13/2015,"HACKERS/ UNAUTHORIZED, ACCESS",1,1
"Extraction Oil & Gas, LLC",GENERAL BUSINESS,3/4/2015,2/2/2015,HACKERS/ UNAUTHORIZED,300,1
"Ascensus, Inc.",GENERAL BUSINESS,3/4/2015,2/9/2015,RELEASE/ DISPLAY OF INFO,9299,715
LPL Financial LLC,FINANCIAL SERVICES/INSURANCE,3/3/2015,12/2/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",128,122
"Amedisys, Inc.",HEALTHCARE,3/2/2015,2/23/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",6909,311
"Gallagher Bassett Services, Inc.",GENERAL BUSINESS,3/2/2015,2/10/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",759,147
Blue Shield of California,HEALTHCARE,3/3/2015,11/14/2014,RELEASE/ DISPLAY OF INFO,655,1
Univ. of Chicago Medical Center and Univ. of Chicago on behalf of the UChicago Biological Sciences,HEALTHCARE,2/27/2015,1/22/2015,HACKERS/ UNAUTHORIZED ACCESS,2040,24
Grow Financial Federal Credit Union,FINANCIAL SERVICES/INSURANCE,2/27/2015,2/2/2015,LOST IN TRANSIT,301,2
Select Comfort,GENERAL BUSINESS,2/27/2015,1/23/2015,RELEASE/ DISPLAY OF INFO,237,12
Piedmont Advantage Credit Union,FINANCIAL SERVICES/INSURANCE,2/27/2015,1/31/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",45131,31237
"Time Warner, Inc.",GENERAL BUSINESS,2/23/2015,2/6/2015,RELEASE/ DISPLAY OF INFO,102,2
Yadkinville Chiropractic DCPA,HEALTHCARE,2/20/2015,2/11/2013,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1000,1000
Scripps Networks Interactive,INFORMATION ONLY,2/24/2015,1/29/2015,INFORMATION ONLY,,6
"Tamron USA, Inc.",GENERAL BUSINESS,2/24/2015,2/5/2015,RELEASE/ DISPLAY OF INFO,563,17
Bulk Reef Supply,GENERAL BUSINESS,2/27/2015,1/21/2015,HACKERS/ UNAUTHORIZED,19364,478
"Raymond Mark Turner, M.D.",HEALTHCARE,2/26/2015,12/29/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2153,2
"Uber Technologies, Inc.",GENERAL BUSINESS,2/26/2015,9/17/2014,HACKERS/ UNAUTHORIZED,49626,1081
Pitt Community College,EDUCATIONAL,2/26/2015,1/21/2015,LOST IN TRANSIT,5400,5400
"CP Franchising, LLC",GENERAL BUSINESS,2/25/2015,2/4/2015,HACKERS/ UNAUTHORIZED,110000,4000
"Lime Crime, Inc.",GENERAL BUSINESS,2/24/2015,2/11/2015,HACKERS/ UNAUTHORIZED,81295,1024
"ValuTeachers, Inc.",FINANCIAL SERVICES/INSURANCE,2/24/2015,2/2/2015,RELEASE/ DISPLAY OF INFO,1337,119
"John Q. Hammons Hotels Management, LLC",GENERAL BUSINESS,2/23/2015,2/2/2015,RELEASE/ DISPLAY OF INFO,117,11
Percheron LLC,GENERAL BUSINESS,2/23/2015,1/15/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2807,17
Cathrine Steinborn DDS,HEALTHCARE,2/20/2015,1/5/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",3224,2
Southern New Hampshire Medical Center/Foundation Medical Partners,HEALTHCARE,2/20/2015,2/13/2015,RELEASE/ DISPLAY OF INFO,453,11
Eastpointe,INFORMATION ONLY,2/25/2015,11/1/2013,INFORMATION ONLY,,
Blue Cross Blue Shield of North Carolina,INFORMATION ONLY,10/1/2013,10/1/2013,INFORMATION ONLY,687,687
Cone Health Medical Group,INFORMATION ONLY,11/2/2014,11/2/2014,INFORMATION ONLY,2076,2076
Kaplan University,EDUCATIONAL,2/16/2015,6/4/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",391,29
Associated Urologists of North Carolina,INFORMATION ONLY,2/18/2015,9/11/2013,INFORMATION ONLY,7300,7300
Metlife,FINANCIAL SERVICES/INSURANCE,2/19/2015,2/3/2015,RELEASE/ DISPLAY OF INFO,2,1
Novant Health Providence Ob- Gyn,HEALTHCARE,2/19/2015,12/26/2014,"HACKERS/ UNAUTHORIZED, ACCESS",1,1
"Anthem, Inc.",FINANCIAL SERVICES/INSURANCE,2/18/2015,1/29/2015,"HACKERS/ UNAUTHORIZED, ACCESS",80000000,889087
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,2/16/2015,2/3/2015,LOST IN TRANSIT,1,1
Frederick County Public Schools,EDUCATIONAL,2/15/2015,1/21/2015,RELEASE/ DISPLAY OF INFO,8540,5
Intuit Inc,GENERAL BUSINESS,2/15/2015,1/30/2015,HACKERS/ UNAUTHORIZED,1206,111
"PSA Airlines, Inc.",GENERAL BUSINESS,2/13/2015,2/11/2015,RELEASE/ DISPLAY OF INFO,20,7
Berdon Claims Administration LLC,GENERAL BUSINESS,2/13/2015,1/29/2015,RELEASE/ DISPLAY OF INFO,285,1
The Prudential Insurance Company of America,FINANCIAL SERVICES/INSURANCE,2/12/2015,1/16/2015,LOST IN TRANSIT,1,1
"Kohl's Department Stores, Inc.",GENERAL BUSINESS,2/5/2015,1/6/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",481,13
Luther Seminary,EDUCATIONAL,2/10/2015,1/13/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",40,1
"Nationstar Mortgage, LLC",FINANCIAL SERVICES/INSURANCE,2/10/2015,11/20/2014,LOST IN TRANSIT,50,1
Guilford County Schools,GOVERNMENT,2/6/2015,1/8/2015,RELEASE/ DISPLAY OF INFO,1600,1550
"LASIK Vision Institute, LLC",GENERAL BUSINESS,2/6/2015,1/2/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",763,2
"Novant Health, Inc.",HEALTHCARE,2/5/2015,12/17/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",41,41
"QVC, Inc.",GENERAL BUSINESS,2/5/2015,1/22/2015,HACKERS/ UNAUTHORIZED,1,1
"Prog Leasing, LLC",GENERAL BUSINESS,2/4/2015,1/29/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",26,1
"OnDeck Capital, Inc.",FINANCIAL SERVICES/INSURANCE,2/4/2015,12/5/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",97,3
CICS Employment Services Inc.,GENERAL BUSINESS,2/3/2015,1/9/2015,HACKERS/ UNAUTHORIZED,101521,113
"Bald Head Island Limited, LLC (possessing information)",GENERAL BUSINESS,2/5/2015,2/3/2015,RELEASE/ DISPLAY OF INFO,1,1
"NC Department of Commerce, Division of Employment",GOVERNMENT,2/3/2015,1/30/2015,RELEASE/ DISPLAY OF INFO,1,1
"Chubb and Son, A Division of Federal Insurance Company",FINANCIAL SERVICES/INSURANCE,2/2/2015,12/3/2014,"HACKERS/ UNAUTHORIZED, ACCESS",900,44
"Otsuka America, Inc.",GENERAL BUSINESS,2/2/2015,12/2/2014,LOST IN TRANSIT,1114,16
Duke University Health Systyem,HEALTHCARE,5/16/2012,1/25/2012,RELEASE/ DISPLAY OF INFO,,
Blue Sky Casino LLC,GENERAL BUSINESS,1/31/2015,1/13/2015,HACKERS/ UNAUTHORIZED,85975,239
UMass Memorial Medical Group,HEALTHCARE,1/30/2015,4/9/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",14100,15
Modular Space Corporation,GENERAL BUSINESS,1/29/2015,9/19/2014,RELEASE/ DISPLAY OF INFO,531,19
"Iredell Memorial Hospital, Incorporated (""Iredell"")",HEALTHCARE,1/30/2015,11/12/2014,RELEASE/ DISPLAY OF INFO,12,12
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,1/30/2015,12/10/2014,LOST IN TRANSIT,1,1
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,1/30/2015,12/12/2014,LOST IN TRANSIT,1,1
Park N Fly,GENERAL BUSINESS,12/30/2014,9/15/2014,HACKERS/ UNAUTHORIZED,,1168
Citibank N.A.,FINANCIAL SERVICES/INSURANCE,1/27/2015,12/4/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",50,1
"Premiere Credit of North America, LLC",FINANCIAL SERVICES/INSURANCE,1/26/2015,11/28/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",15,1
"NC Department of Commerce, Division of Employment",GOVERNMENT,1/29/2015,1/7/2015,RELEASE/ DISPLAY OF INFO,1,1
Direct Marketing Association,RELIGIOUS/NONPROFIT,1/28/2015,12/22/2014,HACKERS/ UNAUTHORIZED,149,3
Advanced Home Care,HEALTHCARE,1/26/2015,12/8/2014,RELEASE/ DISPLAY OF INFO,1,1
"OEC Graphics, Inc.",GENERAL BUSINESS,1/28/2015,1/23/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",262,2
Etowah Valley Veterinary Hospital,INFORMATION ONLY,3/24/2014,3/24/2014,INFORMATION ONLY,,
Moore Music,GENERAL BUSINESS,10/24/2013,9/9/2013,RELEASE/ DISPLAY OF INFO,1,1
"Ascensus, Inc.",GENERAL BUSINESS,1/23/2015,12/31/2014,RELEASE/ DISPLAY OF INFO,183,5
Big Ten Conference,INFORMATION ONLY,1/5/2015,10/9/2014,INFORMATION ONLY,,
"Boone Dermatology Clinic, PA",HEALTHCARE,1/21/2015,12/19/2014,LOST IN TRANSIT,49,47
"Barbecue Renew, Inc.",GENERAL BUSINESS,1/16/2015,11/12/2014,HACKERS/ UNAUTHORIZED,52000,1335
OppenheimerFunds,FINANCIAL SERVICES/INSURANCE,1/21/2015,1/9/2015,RELEASE/ DISPLAY OF INFO,13455,174
"Godiva Chocolatier, Inc.",GENERAL BUSINESS,1/15/2015,12/16/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",13,1
Tradesmen International,GENERAL BUSINESS,1/16/2015,1/3/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",12,1
Columbia Management,FINANCIAL SERVICES/INSURANCE,1/20/2015,12/18/2014,RELEASE/ DISPLAY OF INFO,1,1
Blue Cross and Blue Shield of North Carolina,FINANCIAL SERVICES/INSURANCE,1/16/2015,12/19/2014,RELEASE/ DISPLAY OF INFO,1,1
Citizen's Financial Group,FINANCIAL SERVICES/INSURANCE,1/15/2015,12/4/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1813,1
Soo Co-op Credit Union,FINANCIAL SERVICES/INSURANCE,1/14/2015,12/16/2014,RELEASE/ DISPLAY OF INFO,1362,2
"Bald Head Island Limited, LLC",GENERAL BUSINESS,1/13/2015,1/7/2015,RELEASE/ DISPLAY OF INFO,1,0
Heartland Credit Union,FINANCIAL SERVICES/INSURANCE,1/12/2015,12/1/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",8361,2
Alin Machining Company Inc. (d/b/a Power Plant Services),GENERAL BUSINESS,1/12/2015,12/10/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",750,11
"Piech Sales Company, LLC dba ValuePetSupplies.com",GENERAL BUSINESS,1/12/2015,12/19/2014,"HACKERS/ UNAUTHORIZED, ACCESS",8900,204
"Bay Area Bioscience Association (""BayBio"")",RELIGIOUS/NONPROFIT,1/12/2015,9/21/2014,"HACKERS/ UNAUTHORIZED, ACCESS",51,2
Innotrac Corporation,GENERAL BUSINESS,1/8/2015,12/31/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",66,4
Aetna Life Insurance Company,FINANCIAL SERVICES/INSURANCE,1/8/2015,12/3/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",133,4
Function Point Productivity Software,GENERAL BUSINESS,1/8/2015,11/12/2014,"HACKERS/ UNAUTHORIZED, ACCESS",49,2
"Aspire Indiana, Inc.",HEALTHCARE,1/6/2015,11/7/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",45030,34
Art of Tea,GENERAL BUSINESS,1/5/2015,12/29/2014,HACKERS/ UNAUTHORIZED,1319,21
"Fast Forward Academy, LLC",GENERAL BUSINESS,1/2/2015,12/3/2014,HACKERS/ UNAUTHORIZED,14130,455
Vidant Medical Center,HEALTHCARE,1/2/2015,11/14/2014,RELEASE/ DISPLAY OF INFO,1,1
"La Jolla Group, Inc.",GENERAL BUSINESS,12/31/2014,12/3/2014,HACKERS/ UNAUTHORIZED,3192,51
NC Agricultural And Technical State University (NC A&T),EDUCATIONAL,12/30/2014,1/29/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",147,147
"Custom Accessories, Inc.",GENERAL BUSINESS,12/30/2014,10/24/2014,HACKERS/ UNAUTHORIZED,305,3
"Bladen Healthcare, LLC DBA Cape Fear-Bladen Medical Associates",HEALTHCARE,12/30/2014,9/3/2014,DATA THEFT BY EMPLOYEE OR CONTRACTOR,9,9
Advanced Home Care,HEALTHCARE,12/29/2014,12/8/2014,RELEASE/ DISPLAY OF INFO,1,1
Metropolitan Life Insurance Co.,FINANCIAL SERVICES/INSURANCE,12/23/2014,10/10/2014,RELEASE/ DISPLAY OF INFO,2,2
AT&T Technology Operations,GENERAL BUSINESS,12/23/2014,11/13/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",65,2
"Corday Productions, Inc.",GENERAL BUSINESS,12/24/2014,11/29/2014,HACKERS/ UNAUTHORIZED,2100,2
Lokai Holdings LLC,GENERAL BUSINESS,12/24/2014,10/28/2014,HACKERS/ UNAUTHORIZED,98510,2009
Transamerica Premier Life Insurance Company,FINANCIAL SERVICES/INSURANCE,12/23/2014,11/5/2014,RELEASE/ DISPLAY OF INFO,26,1
Cabarrus County,GOVERNMENT,12/22/2014,12/15/2014,HACKERS/ UNAUTHORIZED,44,35
"Valplast Supply Services, Inc.",GENERAL BUSINESS,12/22/2014,11/17/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",938,40
"Boersma Bros. LLC, dba DutchWear",GENERAL BUSINESS,12/22/2014,12/6/2014,"HACKERS/ UNAUTHORIZED, ACCESS",3594,10
Shoemaker Financial,FINANCIAL SERVICES/INSURANCE,12/22/2014,12/3/2014,RELEASE/ DISPLAY OF INFO,1,1
Azusa Pacific University,EDUCATIONAL,12/22/2014,11/18/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",315,1
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,12/22/2014,11/25/2014,LOST IN TRANSIT,1,1
