Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
Wilderness Hotel and Golf Resort,"P.O. Box 830, Wisconsin Dells, WI 53965",None,"Jennifer Coughlin, Lewis Brisbois Bisgaard & Smith, LLP; 550 E. Swedesford Rd., Suite 270, Wayne, PA 19087; 215-977-4081; Jennifer.Coughlin@lewisbrisbois.com",3/9/15 to 6/8/15 (Discovered 10/8 15),11/20/2015,3/9/2015,6/8/2015,10/8/2015,"Name, card number, expiration date and CVV code.",Not specified
"W.W. Grainger, Inc.","100 Grainger Parkway, Lake Forest, IL 60045",None,"Antony Kim, Orrick Herrington & Sutcliffe, LLP; 202-339-8493; akim@orrick.com",Discovered 10/27/15,11/18/2015,,,10/27/2015,Name or other personal identifier in combination with username and password to mobile apps,28
"Intuit, Inc.","2535 Garcia Ave., Mountain View, CA  94043","Barbara Lawler, Chief Privacy Officer, Intuit, 650-944-5136; Barbara_lawler@intuit.com",N/A,10/12/15-10/20/15,11/17/2015,10/12/2015,10/20/2015,,Name or other personal identifier in combination with SSN,24
Nova Southeastern University,,None,"Lynn Sessions, Esq., BakerHostetler, LLP, 811 Main Street, Suite 1100, Houston, TX 77002; 713-646-1352; lsessions@bakerlaw.com",10/14/2015,11/16/2015,10/14/2015,,,"Name, address, phone number and SSN",1
Fashion to Figure,,None,"Lori Nugent, Esq., GreenbergTaurig, 77 West Wacker Drive, Suite 3100, Chicago, IL 60601; 214-665-3630; nugentl@gtlaw.com",5/19/15 to 10/16/15,11/13/2015,5/19/2015,10/16/2015,,"Name, customer ID, address, phone number, email address and credit card information",14
"OH Muhlenberg, LLC","440 Hopkinsville Street, Greeville, KY 42345",None,"Daniel Soldato, Wyatt, Tarrant & Combs, LLP, 859-288-7631; dsoldato@wyattfirm.com",Discovered 9/16/15,11/13/2015,,,9/16/2015,"Name or other personal identifier in combination with SSN; Driver's license number or non-driver identification  card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",9
Nobel House Hotels & Resorts,"600 6th Street South, Kirkland, WA 98033",None,"Randal Gainer, Baker Hostetler LLP, 999 Third Ave., Suite 3600, Seattle, WA 98104; 206-332-1381; rgainer@bakerlaw.com",12/29/14-8/11/15 (discovered 10/15/15),11/13/2015,12/29/2014,8/11/2015,10/15/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",46
"Integrated Listening Systems, LLC","2851 S. Parker Road, Suite 800, Aurora, CO  80014","Rick Renner, CFO, 303-741-4544; rick@integratedlistening.com",N/A,5/18/15 (Discovered 10/7/15,11/12/2015,5/18/2015,,10/7/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",4
C Stars of Maine (do the POS system for The Common Market),"35 Bradley Drive, Westbrook, ME 04092","Naomi Gagne, Office Manager, The Common Market, 207-785-6800; commonmkt@yahoo.com  (customer of C Stars of Maine)",N/A,8/11/15 (discovered on 10/27/15),11/6/2015,8/11/2015,,10/27/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with security code, access code, password, or PIN for the account.",Not sure
Boston University,,"Sheila O'Leary, Assoc. General Counsel; Office of General Counsel, 125 Bay State Road, Boston, MA  02215; 617-353-2326; soleary1@bu.edu",N/A,Recently (no specific date or date range),11/4/2015,NA,,,"Name, SSN & Driver License number",2
Santander Bank,"75 State Street, Boston, MA 02109","Michelle Guttman, Privacy Officer, 617-757-5413; Michelle.Guttman@santander.us",N/A,Between June and July 2015 (Discovered Sept. 2015),11/2/2015,6/1/2015,,Sept. 2015,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",1
Dow Corning Corp.,"1 East Main Street, Bay City, Michigan 48708","W. Kirk Royster, IT Security Directork, 989-895-8345",N/A,Between 8/31/15 and 9/30/15,10/30/2015,8/31/2015,,,"Name, contact information, financial info such as salary information and some bank account numbers, SSN, non-HIPPA related benefit enrollment info.",5
Mountain Travel Sobek,,None,"Bruce Radke, VedderPrice, 222 North Lasalle St., Chicago, IL 60601; 312-608-7689; bradke@vedderprice.com",7/10-11/15,10/29/2015,7/10/2015,11/15/2019,,"Name, address, SSN",1
"Digital Theatre, LLC (operator of the ShowTix4U website)",,None,"Kristopher Kleiner, Esq., Norton Rose Fulbright US LLP; Tabor Center, 1200 17th Street, Suite 1000, Denver, Colorado 80202; 303-801-2758; kris.kleiner@nortonrosefulbright.com",Between 4/19/15 and 9/30/15 ,10/28/2015,4/19/2015,,,"Name, address, payment card account number, card exp date and payment card security code.",3
"Intuit, Inc.","2535 Garcia Ave., Mountain View, CA  94043","Barbara Lawler, Chief Privacy Officer, Intuit, 650-944-5136; Barbara_lawler@intuit.com",N/A,9/17/2015,10/27/2015,9/17/2015,,,Name or other personal identifier in combination with SSN,1
Yellowfront Grocery,"Upper Main Street, Central Market Drive, Damariscotta, ME 04543","Jeffrey Pierce, Owner, 207-567-3507; yfront@ne.twcbc.com",N/A,"August 11, 2015 (Discovered 10/19/15)",10/26/2015,8/11/2015,,10/19/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number in combination with the security code, access code, password or PIN for the account",Unknown  
Interstitial Cystitis Network,"5636 Del Monte Court, Santa Rosa, CA 95409","Jill Osborne MA, Founder & CEO, 707-538-9442; jill@ic-network.com",N/A,4/6/15 (discovered 10/1/15),10/26/2015,4/6/2015,,10/1/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",7
"BMO Harris Bank, N.A. (Diner's Club)","P.O. Box 6012, Carol Stream, IL 60197",None,"Kari M. Rollins, Esq.; Winston & Strawn, LLP; 200 Park Avenue, New York, NY 10166; 212-294-2664; karollins@winston.com", March 2014 to July 2015,10/23/2015,3/1/2014,7/1/2015,,"Diners Club credit card numbers and possibly also name, address, phone number, Diner's Club account limit and balance, birthdate, SSN & Diners Club account password",1
"CCI Construction Services, LLC","111 West 16th Ave., Suite 400, Anchorage, AK 99501",None,"Sean B. Hoar, Davis Wright Tremaine LLP, 503-778-5396; seanhoar@dwt.com",9/17/2015,10/21/2015,9/17/2015,,,Name or other personal identifier in combination with SSN and Driver's license or non-driver ID card number,1
"Accuform Manufacturing, Inc. and Safety Marketing Services, LLC",,None,"Douglas Cherry, Esq., Shumaker, Loop & Kendrick, LLP, 240 So. Pineapple Ave., PO Box 49948, Sarasota, FL 34230; 941-364-2738; dcherry@slk-law.com",As early as 6/30/15 - Discovered 9/21/15,10/20/2015,6/30/2015,,9/21/2015,"Name, address, email address, phone number and credit card numbers.",Not stated
Bombassocks.com,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,1
Brunswick Hotel & Tavern,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,11
Itickets-retail,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,1
Mrs. Fields Gifts,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,37
Nextep Systems,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,1
Trump Intl Hotel & Tow,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,5
Wahi Diner,,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015; 224-405-2286; garywachtel@discover.com",15-Sep,10/20/2015,9/1/2015,,,Discover card account information may have been compromised,1
Nobel House Hotels & Resorts,"600 6th Street South, Kirkland, WA 98033",None,"Randal Gainer, Baker Hostetler LLP, 999 Third Ave., Suite 3600, Seattle, WA 98104; 206-332-1381; rgainer@bakerlaw.com",1/28/15-8/3/15 (Discovered 9/25/15),10/22/2015,1/28/2015,8/3/2015,9/25/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",9
N. Stevens Inc.,"25 Richardson St,, Portland, ME  04103","Patrick Berry, Risk Analysis Manager, SurePayroll, Inc.; 585-336-7447; patrick.berry@surepayroll.com",N/A,9/18/15 to 9/24/15 (discovered 9/24/15),10/16/2015,9/18/2015,9/24/2015,9/24/2015,Name or other personal identifier in combination with SSN,1
American Bankers Association,"1120 Connecticut Ave., NW, Washington, DC 20036","C. Dawn Causey, General Counsel, 202-663-5434; dcausey@aba.com",N/A,Discovered 10/1/15,10/15/2015,,,10/1/2015,"Email address and password for shopping cart - used to purchase ABA products, training and conf registrations",Not stated
"Service Systems Associates, Inc.","4699 Marion Street, Denver, CO 80216",None,"Christopher McNicholas, Esq., Hale Westfall, LLP; 720-904-6010; cmcnicholas@halewestfall.com",3/24/15-5/20/15 (6/18/15),10/14/2015,3/24/2015,5/20/2015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",Unknown at this time
"EyeBuy Direct, Inc.","2801 South IH 35, Suite 170, Austin, TX 78741; inquiries@eyebuydirect.com","Roy Hessel, President & CEO",N/A,Discovered 6/16/15,10/13/2015,,,6/16/2015,"Full name, mailing address, shipping address, phone number, email address, credit card number & CVV code",10
"Samela, Inc., d/b/a NorthShore Care Supply",,None,"Melissa Ventrone, Esq., WilsonElser, 55 West Monroe Street, Suite 3800, Chicago, IL 60603; 312-821-6105; Melissa.Ventrone@wilsonelser.com",6/7/15 - 8/24/15 (Discovered 8/24/15),10/8/2015,6/7/2015,8/24/2015,8/24/2015,"Name, address, credit and debit card numbers, security codes and expiration dates at the ",40
Wells Fargo,,"Sherry Courtney, Sr. VP",N/A,Discovered 7/15/15,10/8/2015,,,7/15/2015,"Name, address & SSN",4
Dow Jones,"1211 Avenue of the Americas, NY, NY 10038","Mark Jackson, Exec.VP & General Counsel, Dow Jones & Co., Inc., 212-416-3017; mark.jackson@dowjones.com",N/A,Recent incident (no specific date),10/9/2015,,,,"Name, address and payment card information relating to subscribers to WSJ, MarketWatch or Barron's.",Not stated
www.streetsofnewyork.com,,"Rick Peterson, COO, 11811 N. Tatum Blvd, Phoenix, AZ 85028; 602-953-8777; rick25@mindspring.com",N/A,Since late 2009,10/2/2015,Late 2009,,,Credit card numbers used for gift card purchases and certain other customer info may have been accessed by unauthorized parties.,2
"T-Mobile USA, Inc.","12920 SE 38th Street, Bellevue, WA 98006",None,"Amelia Gerlicher, Esq., Perkins Coie, LLP, 206-359-3445; agerlicher@perkinscoie.com",9/14/15 (discovered 9/22/15),10/1/2015,9/14/2015,,9/22/2015,Name or other personal identifier in combination with SSN and Driver's license or non-driver ID card number,"12,952"
"Actavis, Inc.","400 Interpace Parkway, Parsippany, NJ 07054","Ben Sheppard, VP, Schwab Retirement Plan Services, Inc., 512-344-3914; ben.sheppard@schwab.com",N/A,8/25/15 (Discovered 9/3/15) ,10/1/2015,8/25/2015,,9/3/2015,Name or other personal identifier in combination with SSN,10
"Scottrade, Inc.","700 Maryville Centre Drive, St. Louis, MO 63141","Corine Muller, Assistant Vice President Regulatory Affairs; 314-965-1555 Ext. 2137; cemuller@scottrade.com",N/A,Late 2013 - Early 2014,10/1/2015,Late 2013,Early 2014,,"Name & address (although SSNs & email addresses and other sensitive data was contained in the system, it appears the contact information was the focus of the incident)","16,666"
"Kohl's Department Stores, Inc.",,None,"Lisa Sotto, Esq., Hunton & Williams, LLP, 200 Park Avenue, New York, NY 10166; 212-309-1000; lsotto@hunton.com",Not given,9/29/2015,NA,,,Name and debit card information,1
Becker & Mayer LLC,"11120 NE 33rd place, Suite 101, Bellevue, WA 98004","Kate Gardner, Sr. Contracts Manager, 425-629-6135; kateg@beckermayer.com",N/A,April 2015 (Discovered 7/16/15),9/28/2015,4/1/2015,,7/16/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2
Trump Hotel Collection (Trump International Hotel & Tower Las Vegas & Trump Int'l Waikiki),"2000 Fashoin Show Dr., Las Vegas, NV 98109; 223 Saratoga Rd., Honolulu, HI 96815",None,"David Navetta, Norton Rose Fulbright US LLP, Tabor Center, 1200 17th Street, Suite 1000, Denver, CO  80202-5835; david.navetta@nortonrosefulbright.com; 1-303-801-2700",5/19/14 - 6/2/15,9/25/2015,5/19/2014,6/2/2015,,"Payment card account number, card exp date, security code, and cardholder name",Not specified
"Scottrade Financial Services, Inc.","P.O. Box 31759, St. Louis, MO 63131","Corine Muller, Assistant Vice President Regulatory Affairs; 314-965-1555 Ext. 2137",N/A,July of 2015,9/25/2015,7/1/2015,,,"Name, address, Scottrade account number and last four digits of SSN",3
Central Maine Healthcare,"300 Maine Street, Lewiston, ME 04240",None,"Theodore J. Kobus, III, Esq., Baker & Hostetler, LLP, 212-271-1504; tkobus@bakerlaw.com",8/24/2015,9/23/2015,8/24/2015,,,"Employee direct deposit bank account info and W-2 Wage and tax statements which contain name, address, SSN and income info.",19
Rite Aid Corporation,,None,"Lisa Sotto, Esq., Hunton & Williams, LLP, 200 Park Avenue, New York, NY 10166; 212-309-1000; lsotto@hunton.com",8/20/14 - 7/14/15,9/22/2015,8/20/2014,7/14/2015,,"name, address, phone number, email address, and payment card information (including card number, security code and expiration date of customers whoe made purchases on mywayphotos.riteaid.com","1,674"
"Bed, Bath & Beyond, Inc.",,None,"Kristin Mathews, Proskauer Rose LLP, 11 Times Square, NY, NY 10036-8299; 212-969-3265; kmathews@proskauer.com",Not specified,9/22/2015,NA,,,Name and payment card information including payment card number,1
www.padlocks4less.com,,"Jerry Martin, President/CEO, 18424 WA-99, Lynnwood, WA 98037","Sean B. Hoar, Davis Wright Tremaine LLP, 503-778-5396; seanhoar@dwt.com",6/3/15 Discovered 8/26/15,9/22/2015,6/3/2015,,8/26/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2
Costco Photo Center,"999 Lake Drive, Issaquah, WA 98027",None,"Amelia Gerlicher, Esq., Perkins Coie, LLP, 206-359-3445; agerlicher@perkinscoie.com",6/19/2014 - 7/15/15 ,9/21/2015,6/19/2014,7/15/2015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",58
"Duffy's Management, Inc.",,None,"Gary Wachtel, Discover Financial Services, 2500 Lake Cook Road, Riverwoods, IL 60015",15-Aug,9/18/2015,8/1/2015,,,Discover card account information may have been compromised,1
