Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
State o. Indiana,9/5/2017,8/17/2017,8,3788
State o. Indiana,12/12/2017,7/27/2017,7,14
State o. Indiana,12/13/2017,8/8/2017,1,218
State o. Indiana,10/24/2017,,5,366
State o. Indiana,12/18/2017,6/6/2017,13,1249
State o. Indiana,12/15/2017,9/5/2017,1,565
State o. Indiana,10/11/2017,8/10/2016,1,224
State o. Indiana,11/3/2017,6/27/2017,2,109
State o. Indiana,9/1/2017,5/26/2017,5,"4,314"
State o. Indiana,10/9/2017,7/26/2017,1,135
State o. Indiana,10/20/2017,6/25/2017,6,45
State o. Indiana,11/14/2017,5/24/2011,93,572
State o. Indiana,11/8/2017,9/19/2017,,1
State o. Indiana,10/11/2017,3/1/2017,3,1733
State o. Indiana,10/14/2017,10/1/2017,1399,59320
State o. Indiana,11/29/2017,9/15/2017,86,173
State o. Indiana,10/5/2017,5/27/2017,904,"39,353"
State o. Indiana,11/28/2017,9/24/2017,2324,"32,000"
State o. Indiana,10/25/2017,7/19/2017,80,661
State o. Indiana,12/6/2017,9/7/2017,1,137
State o. Indiana,11/1/2017,8/25/2017,34,2010
State o. Indiana,9/27/2017,8/18/2017,573,4217
State o. Indiana,11/22/2017,9/18/2017,2,362
State o. Indiana,10/4/2017,8/22/2017,2,693
State o. Indiana,10/31/2017,,1,335
State o. Indiana,10/31/2017,6/4/2017,8,24999
State o. Indiana,12/15/2017,12/1/2017,3,145
State o. Indiana,12/6/2017,6/2/2017,932,3497
State o. Indiana,12/4/2017,8/4/2017,2,1389
State o. Indiana,10/30/2017,9/21/2017,1,1
State o. Indiana,11/13/2017,8/10/2016,89,969
State o. Indiana,10/6/2017,4/25/2017,778,"41,195"
State o. Indiana,10/13/2017,3/1/2017,1,3532
State o. Indiana,10/16/2017,1/1/2017,7,"13,412"
State o. Indiana,12/14/2017,10/29/2017,2,103
State o. Indiana,10/3/2017,9/7/2017,4172,"182,823"
State o. Indiana,12/12/2017,1/10/2017,1,1895
State o. Indiana,11/22/2017,10/13/2016,>6480,>600.00
State o. Indiana,10/20/2017,5/1/2017,35,1630
State o. Indiana,10/19/2017,7/25/2017,23,135
State o. Indiana,12/8/2017,9/13/2017,1,4995
State o. Indiana,,,,
State o. Indiana,10/5/2017,7/21/2017,19,822
State o. Indiana,10/23/2017,3/10/2017,,
State o. Indiana,11/3/2017,,60,"10,149"
State o. Indiana,10/31/2017,,2,954
State of Indiana,12/21/2017,10/5/2017,5,24
StateBankofLincoln,2/21/2017,1/3/2017,18,5598
StateFarmMutualAutomobileInsuranceCompany,6/21/2017,10/1/2016,1,1
StateFarmMutualAutomobileInsuranceCompany,11/23/2016,10/23/2016,1,58
StateFarmMutualAutomobileInsuranceCompany,3/2/2017,11/1/2015,3,10421
StateIndustrialProducts,8/4/2017,2/26/2017,1,294
StateStreetCorporation,8/18/2017,7/17/2017,6,693
"SteelTechnology,LLCd/b/aHydroFlask",7/25/2017,,261,40942
StoutStreetHospitality,7/28/2017,8/10/2016,46,
"stremlinevents,inc.",2/15/2017,2/7/2017,1,146
"Stroh,Johnson&CompanyLLP",2/14/2017,1/3/2017,8,5000
"SunbeltRentals,Inc.",5/8/2017,4/18/2017,1,
SunTrustBank,2/24/2017,11/2/2016,19,14616
"SusanD.Jarvis,CPA",3/8/2017,2/13/2017,1,316
SydellPartners,7/21/2017,8/10/2016,20,6037
SymetraLifeInsuranceCompany,3/2/2017,2/13/2017,1,1
SymetraLifeInsuranceCompany,3/2/2017,2/13/2017,1,1
"TaconicBiosciences,Inc.",3/9/2017,1/30/2017,54,665
TALXCorporation,8/28/2017,4/18/2016,1,369
TALXCorporation,7/21/2017,4/18/2016,31,3739
TALXCorporation,8/15/2017,2/4/2016,5,134
TALXCorporation,5/23/2017,1/4/2017,1322,40645
TALXCorporation,6/14/2017,5/3/2016,3,206
TALXCorporation,4/4/2017,,40,717
TALXCorporation,6/2/2017,4/19/2016,3,119
"TampaBaySurgeryCenter,Inc.",6/20/2017,5/4/2017,2,25842
"Tatcha,LLC",5/9/2017,,36,4300
TaylorUniversity,6/28/2017,4/17/2017,6,6
TaylorUniversity,8/23/2017,4/17/2017,77,197
TDBank-SecurityBreach,6/22/2017,4/28/2017,9,5152
TelcomInsuranceServicesCorp.,1/13/2017,,1,25
"Teletrac,Inc.andNavamWirelessNorthAmericaLimited",2/9/2017,2/1/2017,3,465
The Prudential Insurance Company of Amer,8/9/2017,6/22/2017,4,74
TheAIJ.SchneiderCompany,7/26/2017,12/21/2016,unknown,unknown
TheBicycleHotel&Casino,8/28/2017,8/10/2016,4,
TheBoeingCompany,2/10/2017,11/21/2016,15,35681
TheBridgewaterClub,,9/8/2016,,
TheCalmarkGroup,2/9/2017,1/9/2017,7,200
"TheChildren'sPlace,Inc.",4/4/2017,,3,
TheDomainHotel,8/28/2017,8/10/2016,2,
TheForumforYouthInvestment,6/8/2017,3/19/2017,4,643
TheGallivantTimesSquare,8/28/2017,8/10/2017,9,
"TheHonestKitchen,Inc.",2/14/2017,11/30/2016,106,6750
TheInternationalCouncilofShoppingCenters,9/15/2017,3/24/2017,137,12149
"Theisen'sSupply,Inc.",3/3/2017,2/1/2016,69,
TheNathanHaleInn&ConferenceCenter,8/28/2017,8/10/2016,2,
TheNeimanMarcusGroup,4/14/2017,12/26/2015,58,6494
"TheNeurologyFoundation,Inc.",9/1/2017,1/31/2017,1,12976
"ThereThinkGroup,Inc.",9/6/2017,7/11/2017,62,1860
"ThermoSpasHotTubProducts,Inc.",9/11/2017,9/1/2017,1,722
TheRooseveltHotel,8/28/2017,8/10/2016,31,
TheSandmanSantaRosa,7/21/2017,8/10/2016,3,938
"TheToppsCompany,Inc.",12/27/2016,7/30/2016,285,10380
"TheVanguardGroup,Inc.",7/10/2017,6/7/2017,1,1
"TheVanguardGroup,Inc.",4/5/2017,3/29/2016,1,1
"TheVanguardGroup,Inc.",,,,
"TheVanguardGroup,Inc.",8/11/2017,7/19/2017,1,1
"TheW.W.WilliamsCompany,LLC",8/8/2017,7/6/2017,1,57
TheWareGroup,8/11/2017,7/15/2017,2,742
"TICGums,Inc.",3/20/2017,2/27/2017,1,268
"TidewaterTransitCompany,Inc.",4/20/2017,,2,1952
TimberlandBank,8/31/2017,7/18/2017,1,6055
TimeWarnerInc.,7/20/2017,8/10/2016,2,1183
TorranceMemorialMedicalCenter,6/19/2017,4/18/2017,11,32499
TownofGalveston,5/1/2017,4/3/2017,84,84
"ToyotaMaterialHandlingMidwest,Inc.",3/20/2017,3/7/2017,152,
"TraditionsManagement,LLC",4/28/2017,3/15/2017,54,80
"TransPerfectGlobal,Inc.",2/10/2017,1/17/2017,7,4884
TriangleAssociates,2/23/2017,2/10/2017,1,152
TriTechSoftwareSystems,3/30/2017,2/16/2017,3,863
"TrojanBatterySales,LLC",5/30/2017,2/18/2017,2,132
"tronc,inc.",9/25/2017,,1,39
TRUEbenefitsLLC,8/14/2017,5/18/2017,11,2656
TrueNetCommunications,1/26/2017,1/20/2017,5,
TrumpHotelCollection,6/30/2017,8/10/2017,49,
"TwoRoadsHospitality,LLC",7/14/2017,8/10/2016,808,92467
TylerIndependentSchoolDistrict,3/8/2017,3/1/2017,1,4099
"TylerTechnologies,Inc.",3/13/2017,3/3/2017,23,7788
U.S.ResidentialGroupLLC,8/2/2017,3/23/2017,6,1226
UllicoInc.,5/19/2017,3/17/2017,1,47
UnionHospital,2/28/2017,1/13/2016,1,1
"Unique-Prescotech,Inc.",2/28/2017,2/14/2017,112,228
UnitedAirlines,7/6/2017,,4,841
"UnitedBenefitAdvisors,LLC",7/20/2017,5/31/2017,36,58
UnitedChurchHomes,4/5/2017,3/15/2017,13,2020
UnitedStatesCellularCorporation,6/27/2017,4/5/2017,4,1852
UniversalBusinessTeamLLC,6/15/2017,8/1/2016,15,679
UniversityofNewMexicoFoundation,5/15/2017,2/16/2017,72,23000
UrologyAustin,3/22/2017,1/22/2017,96,279663
USDepartmentOfLabor,,,3,3
"ValueEyecareNetwork,Inc.",7/21/2017,5/31/2017,1666,115581
"Vanner,Inc.",2/8/2017,1/30/2017,1,
VeoliaNorthAmerica,3/23/2017,1/26/2017,,
VeoliaNorthAmerica,2/24/2017,,63,
Verizon,7/19/2017,8/10/2017,2,225
VertexWireless,3/15/2017,2/21/2017,24,
"VHGFourthStreetSF,LLC",3/28/2017,2/26/2017,2,280
Viamedia,4/3/2017,3/30/2017,6,144
"VillageGreenHoldings,LLC",3/10/2017,2/10/2017,2,745
VirginAmerica,7/26/2017,,2,3230
"VirginHotelsChicago,LLC",7/21/2017,8/10/2016,34,916
VirginiaGiftBrands,3/27/2017,8/18/2016,104,4111
VisibleChanges,9/5/2017,7/28/2017,2,4172
VisionQuestEyecare,3/7/2017,,85628,85995
"ViskaseCompanies,Inc.",2/22/2017,1/30/2017,2,590
VTGroup,3/3/2017,,12,7359
VTIndustries,3/23/2017,2/8/2017,137,1884
"VWSEProductions,LLC",3/15/2017,1/23/2017,61,848
"W.FrankHarshaw&Associates,Inc.",4/19/2017,4/7/2017,49,298
"W.W.Grainger,Inc.",9/19/2017,8/23/2017,530,57992
WalkintheWordMinistry,6/29/2017,4/1/2017,572,14417
WarsawCommunitySchools,,,88,
WashingtonStateUniversity,6/9/2017,4/21/2017,1601,1118135
WashingtonUniversityinSaintLouisSchoolofMedicine,5/2/2017,12/2/2016,16,2047
"WeekendsOnly,Inc.",3/3/2017,2/1/2016,631,
WesleyanCollege,5/3/2017,4/10/2017,3,
WesternGrowersPensionTrust,2/13/2017,12/30/2016,1,952
WesternReserveGroup,7/28/2017,5/8/2017,109,
WestgateResortsLtd,7/28/2017,8/10/2017,138,15975
WestMusicCompany,3/3/2017,2/1/2016,1178,56335
WhitesResidentialFamilyServices,8/29/2017,1/18/2017,1,1
"Whitinger&Company,LLC",7/18/2017,1/29/2017,7886,9180
WildManey&ResnickLLP,4/21/2017,,1,5261
"WilliamE.Howe&Co.,CPAs",3/31/2017,6/22/2016,2,1831
WoodsideHotelsandResorts,7/26/2017,8/10/2016,18,7112
Wooster-AshlandRegionalCouncilofGovernments,8/10/2017,6/28/2017,324,23000
"WorldOmniFinancial,Corp.",6/6/2017,5/10/2017,1,853
WRJHoldingsLLCdbaClassicFirearms,9/1/2017,4/24/2017,266,10228
"XtantMedicalHoldings,Inc.",6/30/2017,6/1/2017,1,68
Yeo&Yeo,6/9/2017,3/9/2017,5,3491
YMCAofCentralKentucky,5/4/2017,12/17/2016,1,409
ZestDentalSolutions,3/14/2017,12/31/2013,92,4806
ZillowGroup,5/30/2017,5/9/2017,1,1912
ZymoResearchCorporation,8/23/2017,3/15/2017,77,7454
1-800-Flowerscom,3/8/2016,2/15/2016,120,
21stCenturyOncology,3/4/2016,10/3/2015,13329,2213597
37thParallelProperties,6/7/2016,4/25/2016,1,120
3CPackagingInc,4/7/2016,3/30/2016,2,232
7-ElevenInc,8/9/2016,6/13/2016,5,7832
"A.C.T.Services,Inc.",12/20/2016,9/1/2016,428,428
AACOrthodonticsPC,9/13/2016,9/7/2016,9,9
ABBInc,3/17/2016,2/5/2016,4,566
AbbottLaboratories,7/19/2016,6/22/2016,1,1
ABMIndustriesIncorporated,6/20/2016,12/10/2015,1,121
ABRHLLC,5/20/2016,3/18/2016,,
AcademyofNutritionDietetics,8/4/2016,4/22/2016,9,665
AcceptanceInsurance,4/25/2016,3/22/2016,1,
AccessGroupInc.,11/23/2016,,1,
ActagroLLC,8/9/2016,6/10/2016,2,114
ACTIVEOutdoors,9/19/2016,,4527,4210850
ADP,3/22/2016,1/18/2016,6,230
AdvanceAutoParts,3/15/2016,3/7/2016,3310,
AdvanceInternationalMarketing,4/26/2016,4/4/2016,2068,63888
ADVANTAGEHealthSolutions,12/22/2016,3/12/2016,2287,2387
AegionCorporation,1/15/2016,10/1/2014,40,2426
Affinion,3/28/2016,2/22/2016,2,2640
AFLAC,12/22/2016,12/4/2016,132,158
AFSLogisticsLLC,6/20/2016,4/21/2016,2,332
AgPerspectiveInc,5/5/2016,4/1/2016,5,220
AllstateInsuranceCompany,11/18/2016,,6,1109
AmericanAssociationfortheAdvancementofScience,7/12/2016,4/24/2016,17,1164
AmericanCollegeofEmergencyPhysicians,7/22/2016,4/23/2016,3,
AmericanSocietyofSafetyEngineers,8/4/2016,4/22/2016,15,286
AmeripriseFinancialInc,6/16/2016,5/18/2016,5,1222
AmeripriseFinancialInc,6/14/2016,4/28/2016,2,404
AmeripriseFinancialInc,10/20/2016,,8,477
AmeripriseFinancialInc-Breach Notification,2/18/2016,1/12/2016,1,1
AnchorLoans,12/9/2016,11/7/2016,9,2905
AndersonTackmanCompanyPLC,8/5/2016,,2,
AnthelioHealthcareSolutionsInc,4/20/2016,2/25/2016,7,
AnthemBlueCrossandBlueShield,5/26/2016,4/19/2016,1,1
AnthemBlueCrossandBlueShield,5/27/2016,12/24/2015,1,1
AnthemBlueCrossandBlueShield,2/3/2016,12/21/2015,1,1
AnthemBlueCrossandBlueShield,5/4/2016,4/4/2016,1,1
AonCorporation,3/10/2016,2/19/2016,1,1
AppliedSystemsInc,3/7/2016,2/19/2016,134,1206
ArborPointAdvisorsLLC,8/26/2016,8/25/2016,84,105
Areas,5/4/2016,4/4/2016,192,4362
ArgonMedicalDevicesInc,4/6/2016,3/14/2016,3,772
AristechSurfacesLLC,5/31/2016,4/9/2016,21,993
ArizonaTileLLC,5/11/2016,4/14/2016,1,818
AsburyTheologicalSeminary,6/10/2016,,4,
AscensusInc,12/15/2016,11/4/2016,1,1
AscensusInc,9/15/2016,4/29/2016,38,6206
AscensusInc,3/8/2016,2/26/2016,1,1
AspectSoftwareInc,3/7/2016,2/24/2016,8,1300
AspirationPartnersInc,1/29/2016,1/17/2016,3,210
AspireCPA'sPC,4/17/2016,3/14/2016,61,70
AstreyaPartnersInc,5/10/2016,4/4/2016,1,
AthensOrthopedicClinic,8/26/2016,6/14/2016,69,
AtlantaFalconsFootballClubLLC,10/21/2016,2/12/2016,6,975
AugustaUniversity,11/22/2016,,1,
AvendraLLC,3/23/2016,3/7/2016,1,323
Avention,5/10/2016,3/31/2016,2,310
B3SolutionsLLC,4/20/2016,2/24/2016,4,226
BackcountryGear,11/23/2016,9/26/2016,25,2177
Bailey'sInc,1/27/2016,9/25/2015,420,15000
BajaBoundInsuranceServicesInc,2/7/2016,12/16/2015,4,1143
BakerOverby&MooreIncPS,11/10/2016,10/8/2016,2,55
BalletMakersIncdbaCapezio,2/9/2016,10/7/2015,40,3431
BankersLifeandCasualtyCompany,4/22/2016,2/2/2016,1,1
BankersLifeandCasualtyCompany,6/30/2016,4/30/2016,1,1
BankersLifeandCasualtyCompany,2/17/2016,10/31/2015,1,1
BannerHealthInc,8/3/2016,6/17/2016,2082,3623140
BaptistHealthLouisville,2/26/2016,12/3/2015,1,140
BartechGroupInc,4/1/2016,2/8/2016,4,393
BatdorfBronsonCoffeeRoasters,5/17/2016,10/1/2015,15,1845
BaxterCreditUnion-SecurityBreach,11/10/2016,10/3/2016,125,6998
BeaconHealthSystem-Breach Notification,4/29/2016,2/20/2016,69,76
BedBathBeyondInc,11/11/2016,2/20/2016,2,3845
BehavioralScienceTechnologyInc,4/22/2016,4/19/2016,2,150
BethesdaMinistries,2/23/2016,1/25/2016,1,31
BHEquitiesLLC,4/1/2016,3/21/2016,1,581
BillyCasperGolf,3/3/2016,2/26/2016,126,8176
BirchCommunications,8/25/2016,8/4/2016,5,1913
BlockandCompanyInc,5/13/2016,3/21/2016,4,276
BlockandCompanyInc,3/31/2016,2/9/2016,16,709
BlucoraInc,1/8/2016,11/10/2015,16,500
BlueDolphinGroupLLC,1/21/2016,9/17/2015,2182,32758
BlueShieldofCalifornia,1/29/2016,9/1/2015,1,20764
BMOHarrisBank,5/10/2016,4/16/2016,2,2
BMV,,11/17/2016,1,1
BolttechManningInc,9/15/2016,9/7/2016,25,355
"Bomberg,Roach,&Hanson,PLLC",12/16/2016,9/13/2016,5,2919
BonSecoursHealthSystemIncAffilates,8/31/2016,4/18/2016,396,655203
BostockConstructionLLC,9/28/2016,9/27/2016,25,60
BraceAbility,12/13/2016,9/24/2016,131,5374
BradleyCompanyLLC,4/20/2016,3/25/2016,236,
"BrandywinePediatrics,P.A.",12/23/2016,8/3/2016,12,26721
"BrevilleUSA,Inc.",12/20/2016,12/1/2016,3,290
BriMarWoodInnovationsInc,4/20/2016,4/18/2016,54,55
BroadviewMortgage,10/17/2016,,2,
BrunswickCorporation,5/5/2016,4/29/2016,338,11363
BucknellUniversity,6/3/2016,,13,
BusinessDecisionNorthAmerica,4/22/2016,4/1/2016,2,45
CaesarsEntertainment,11/28/2016,7/29/2015,22,1439
CaliberHomeMortgage,,,,
CaliforniaStateUniversityNorthridge,5/5/2016,,1,70265
CareerEducationCorporation,7/11/2016,6/16/2016,9,881
CarpentersLocal215,11/2/2016,8/24/2016,450,450
CertifiKidLLC,5/5/2016,1/25/2016,24,32388
CeteraInvestmentServicesLLC,11/18/2016,10/23/2016,68,68
CharlesSchwabBank,2/16/2016,1/13/2016,1,1
CharlesSchwabCoInc,11/11/2016,3/25/2016,351,22442
CHIFranciscanHealthcareHighlandMedicalCenter,8/31/2016,4/21/2016,7,13636
ChildrensBureau,,,,
ChildSupportDivisionoftheElkhartCountyProsecutingAttorneysOffice,9/26/2016,8/30/2016,2,2
ChristianLouboutinLLC,10/25/2016,8/28/2016,47,3059
CiCiEnterprisesLP,7/19/2016,6/30/2015,,
Cigna-LifeInsuranceCompanyofNorthAmerica,4/18/2016,1/6/2016,64,1285
CitibankNA,1/15/2016,9/16/2015,2,
CityofRochesterMinnesota,2/13/2016,,2,
ClaremontUniversityConsortium,12/22/2016,11/15/2016,3,
ClintonHealthAccessInitiativeInc,4/1/2016,3/21/2016,1,337
ColumbusRegionalHealth,8/1/2016,6/30/2016,1,1
ColumbusRegionalHealth,2/19/2016,1/4/2016,2,2
ColumbusRegionalHealthPhysicians,8/8/2016,7/15/2016,1,1
ColumbusRegionalHealthPhysicians,9/19/2016,8/14/2016,1,1
ColumbusRegionalHospital,9/28/2016,9/22/2016,1,1
Comic-ConInternational,7/22/2016,6/24/2016,1,170
CommunityHealthNetwork,6/3/2016,11/11/2015,1,1
CommunityHealthNetwork,1/12/2016,12/28/2015,1,1
CommunityHealthNetwork,11/14/2016,10/11/2016,1,1
CommunityHealthNetwork,5/6/2016,4/13/2016,1,1
CommunityHealthNetwork,12/9/2016,11/8/2016,1,1
CommunityHealthNetwork,11/16/2016,10/16/2016,2,2
CommunityHealthNetwork,11/21/2016,10/22/2016,1,1
CommunityHealthNetwork-SecurityBreach,8/8/2016,6/13/2016,1,1
CommunityHealthPlanofWashington,12/24/2016,1/16/2016,11,354304
CommunityHowardRegionalHealth,2/26/2016,12/6/2015,15,15
CommunityRehabilitationHospital,9/8/2016,8/10/2016,1,1
ContactSolutions-SecurityBreach,3/4/2016,2/17/2016,3,
Contec,,,,
Contec,3/28/2016,3/24/2016,1,320
ConvaTecInc,3/9/2016,2/29/2016,6,
CostcoWholesale,2/10/2016,12/20/2015,2,815
CoyoteLogisticsLLC,1/22/2016,1/14/2016,12,2183
CraneCompany,6/7/2016,6/7/2016,1,327
CREnglandInc,5/13/2016,1/6/2016,1,107
CRGResidentialLLC,7/12/2016,7/1/2016,102,120
CurseInc,5/18/2016,4/11/2016,11,
DASCOMajorHospitalHomeMedicalEquipment,3/22/2016,8/20/2015,4,4
DeaconessHospitalinc,3/10/2016,12/10/2015,121,177
DeaconessHospitalinc,3/10/2016,12/10/2015,5,7
DealerSocketInc,4/11/2016,4/11/2016,2,1350
DearbornNational,10/13/2016,8/23/2016,99,1568
DedicatedTransportLLC,3/21/2016,3/15/2016,1,20
DeltaCareerEducationCorporation,10/13/2016,9/29/2016,6,4014
DeltaCareerEducationCorporation-SecurityBreach,10/13/2016,9/29/2016,6,4014
DistinctSoftwareSolutionsdbaCourseTrends,5/16/2016,5/2/2016,46,3000
DonHindsFordInc*,5/31/2016,4/27/2016,197,197
doTERRAInternationalLLC,4/18/2016,3/1/2016,18926,
DoverFederalCreditUnion,12/22/2016,9/20/2016,166,86055
DragerMedicalSystemsInc,1/29/2016,1/20/2016,10,1302
DraperJamesLLC,4/26/2016,3/2/2016,9,633
DungareesLLC,12/22/2015,10/15/2015,218,9948
DWD-IndianaWorkforce Development*,10/24/2016,10/21/2016,3,17
DWD-IndianaWorkforce Development*,11/24/2016,10/29/2016,1,1
DXEMedicalInc,,,,
DXEMedicalInc,8/19/2016,3/24/2016,29,
DynamicAviation,3/21/2016,3/11/2016,2,730
EaglesBenefitsByDesignInc,2/11/2016,2/4/2016,1,1
EastwoodCompany,10/19/2016,5/29/2016,426,20929
EBSCOIndustriesInc,9/8/2016,7/3/2016,1,187
EddieBauerLLC,8/18/2016,1/2/2016,22575,2192422
EducentsInc.,11/22/2016,9/26/2016,26,970
"EileenFisher,Inc.",11/9/2016,9/7/2016,159,16200
ElementisGlobalLLC,3/4/2016,2/26/2016,1,310
ElicitBrandsLLC,1/28/2016,12/11/2015,4,191
EmergencyPhysiciansMedicalGroupPC,1/14/2016,11/5/2015,29,
EmpathiaInc,6/6/2016,,288,26446
Endologix,3/7/2016,3/3/2016,1,339
EnvisionRxPlus,2/19/2016,1/7/2016,1,115
EnvisioPharmacies,6/15/2016,6/1/2016,1,30
EqualizeRCMSystems,4/28/2016,2/25/2016,9,
EstechSystemsInc,2/12/2016,1/14/2016,44,1344
EveningPostIndustries,3/3/2016,2/26/2016,2,2314
ExaminationManagementServicesInc,4/22/2016,3/24/2016,58,4965
ExamOne,10/13/2016,9/16/2016,1,1
ExamOne,8/23/2016,6/21/2016,1,1
ExamOne,5/16/2016,3/24/2016,1,1
ExamOne,3/30/2016,3/16/2016,1,1
ExamOne,4/25/2016,3/4/2016,1,1
ExamOne,7/18/2016,5/25/2016,1,1
ExamOne,11/3/2016,9/3/2016,2,2
Experian,4/29/2016,4/9/2016,3,503
Exterran,8/26/2016,11/24/2015,28,10844
EyeInstituteofCorpusChristi,2/26/2016,1/6/2016,13,43961
FairbanksHospitalInc,1/27/2016,6/1/2015,749,805
FCCIInsuranceGroup,4/14/2016,4/7/2016,3,4
Federal-MogulMotorpartsCorporation,9/9/2016,9/1/2016,6,1050
FidelityInvestments,6/2/2016,5/27/2016,4,4
FidelityInvestments,4/12/2016,3/15/2016,3,31
FidelityInvestments-Breach Notification,8/15/2016,8/5/2016,1,1
FidelityNationalFinancialInc,7/29/2016,7/22/2016,1,1
FirstHomeMortgageCorporation,8/12/2016,7/10/2016,1,1300
FischerManagementInc,4/1/2016,3/29/2016,73,476
FloridaTileInc,9/13/2016,6/16/2016,1,1
FlowserveCorporation,9/16/2016,12/1/2013,1,157
FlynnCompanyIncCPA's,6/6/2016,3/1/2016,15,
ForefrontManagementLLCdbaForefrontDermatology,4/4/2016,,139,1526
FORETHOUGHT,4/13/2016,2/19/2016,1,1
ForrestShererInc,2/24/2016,1/11/2016,1009,1374
FossManufacturingCompanyLLC,3/11/2016,2/19/2016,1,714
FranciscanAllianceInc,4/4/2016,10/5/2015,52,182
FranciscanHealthAlliance,12/16/2016,11/19/2016,1,1
FranciscanHealthHammond,12/6/2016,4/14/2016,1,1
FranciscanPhysicianNetwork,8/4/2016,7/8/2016,1,1
FranciscanPhysicianNetwork-Breach Notification,1/26/2016,12/30/2015,5,5
FranciscanSt.ElizabethHealth,11/18/2016,4/14/2016,2,2
FranciscanStFrancisHealth,5/3/2016,3/19/2016,2,2
FranciscanStFrancisHealthMooresville,4/27/2016,3/3/2016,1,1
FranciscoJaumeDO,10/3/2016,8/22/2016,2,14236
FrankDayCPALLC,6/7/2016,4/27/2016,1,569
FranklinTempletonInvestorServicesLLC,4/15/2016,2/10/2015,1,1
FreddieMac,9/20/2016,4/12/2013,6,2361
FSCSecuritiesCorp,8/10/2016,,1,636
FSSA,,,,
FSSA,5/19/2016,5/17/2016,5,5
FSSA,5/13/2016,1/26/2016,5,5
FSSA,1/12/2016,12/11/2015,1,1
FSSA-Breach Notification,10/3/2016,8/11/2016,1,1
"FujitsuComputerProductsofAmerica,Inc.",12/14/2016,,10,
G.A.Mavon&Co.,11/11/2016,1/19/2015,49,1037
GamesaWindUSLLC,7/12/2016,6/17/2016,1,465
GapInc.,11/23/2016,10/17/2016,1,
GEBComputerTrainingLimited,10/6/2016,8/22/2016,1,624
GeorgetownUniversity,1/27/2016,1/15/2016,12,1573
GibsonInsuranceAgency,10/14/2016,7/28/2016,6454,7242
GirlScoutsofVirginiaSkylineCouncilInc,5/6/2016,2/16/2016,1,
GlaxoSmithKlineLLC,3/25/2016,2/7/2016,2,566
"GlennR.Miller,C.P.A.,P.C.",11/21/2016,5/1/2016,2,404
GoelzerInvestmentManagementInc,6/1/2016,4/1/2016,1,1
GoldKeyPHR,4/20/2016,3/29/2016,1,
GrandValleyStateUniversity,6/18/2016,4/25/2016,4,3198
GraybarElectricCompanyInc,1/22/2016,12/13/2015,15,113
GrayTelevisionInc,8/31/2016,8/10/2016,95,
GreatLakesHomeMedicalServicesAssociation,6/21/2016,4/29/2016,19,77
Greenfield-CentralCommunitySchoolCorporation,11/23/2016,11/21/2016,42,42
GroupBenefitServicesInc,5/9/2016,2/5/2016,1,703
GryphonTechnologiesLC,3/21/2016,2/29/2016,77,772
GuideCareLLC,1/6/2016,12/20/2015,185,185
"Guilmartin,DiPiro&SokolowskiLLC",12/2/2016,4/16/2016,740,4
GVCMortgage,9/30/2016,8/24/2016,6,6
GyftInc,2/5/2016,10/3/2015,5171,392773
HabitatforHumanityMichiganFund,11/10/2016,,,4800
HAECOAmericas,4/29/2016,3/15/2016,19,
HainCelestialGroupInc,1/28/2016,5/16/2015,39,2231
HardRockHotelCasinoLasVegas,6/27/2016,10/27/2015,,
HarveyMuddCollege,3/22/2016,3/4/2016,2,381
HealthPort,,,,
HEIHotelsResorts,8/12/2016,3/1/2015,,
HeinAssociatesLLP,7/13/2016,4/26/2016,6,
HillandKnowltonStrategiesLLC,5/2/2016,2/23/2016,1,592
HirataCorporationofAmerica,4/18/2016,4/11/2016,4,21
Hi-TecSportsUSAInc,4/29/2016,9/21/2014,31,1603
HKFinancialServices,1/22/2016,1/11/2016,44,3790
Honig'sWhistleStop,11/9/2016,8/4/2016,103,2654
Hook'sHomeCareOXYTEC,4/18/2016,4/13/2016,1,1
HPEnterpriseServicesLLC,9/21/2016,9/16/2016,1235,1235
HSBCBankUSANationalAssociation,5/12/2016,3/27/2016,1,1
HSBCBankUSANationalAssociation,1/13/2016,12/7/2015,1415,432095
HSBCBankUSANationalAssociation,1/5/2016,12/1/2015,1,214
HSBCSecuritiesUSAInc,7/15/2016,5/12/2016,2,328
HumeLakeChristianCamps,4/30/2016,2/29/2016,7,
HyattHotelsCorporation,1/14/2016,8/13/2015,,
IAPWorldwideServicesInc,7/14/2016,5/15/2016,34,4272
IASISHealthcare,3/29/2016,3/21/2016,5,18273
IceMillerLLP,3/21/2016,,44,52
IDEM-SecurityBreach,4/29/2016,3/18/2013,1,1
IDEM-SecurityBreach,6/10/2016,,1,1
IDEO.org,11/8/2016,9/30/2016,2,115
IMSystemsGroupInc,5/11/2016,5/3/2016,1,288
IMXMedicalManagementServices,9/23/2016,7/25/2016,1,808
IncipioLLP,2/22/2016,9/16/2015,158,8395
IndependentMedicalDistributorsAssociation,6/21/2016,4/29/2016,1,56
IndianaBloodCenter,,,,
IndianaBureauofMotorVehicles,12/9/2016,12/8/2016,1,1
IndianaBureauofMotorVehicles,7/12/2016,6/14/2016,1,1
IndianaDepartmentofRevenue-Breach Notification,1/8/2016,12/20/2015,1,1
IndianaDepartmentofRevenue-Breach Notification,11/23/2015,11/18/2015,1030,1073
